pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""W""";"=""1""";"=""1""";"=""2""";"=""ROSA FIGUEIREDO Emily""";"=""18.03.1998""";"=""BRA""";"=""48""";"=""47.70""";"=""65""";"=""67""";"=""70""";"=""70""";"=""* 85""";"=""* 85""";"=""85""";"=""85""";"=""155""";"=""2017 SOUTH AMERICAN JUNIOR CHAMPIONSHIPS""";"=""12.2017""";
"=""1""";"=""W""";"=""2""";"=""2""";"=""1""";"=""CUEVA URIBE Fiorella Francesca""";"=""04.02.1998""";"=""PER""";"=""48""";"=""46.75""";"=""60""";"=""64""";"=""66""";"=""66""";"=""* 86""";"=""86""";"=""* 90""";"=""86""";"=""152""";"=""2017 SOUTH AMERICAN JUNIOR CHAMPIONSHIPS""";"=""12.2017""";
"=""2""";"=""W""";"=""3""";"=""3""";"=""3""";"=""URRUTIA PEREZ Rocio Del Pilar""";"=""16.11.2002""";"=""CHI""";"=""48""";"=""47.62""";"=""47""";"=""52""";"=""55""";"=""55""";"=""60""";"=""65""";"=""70""";"=""70""";"=""125""";"=""2017 SOUTH AMERICAN JUNIOR CHAMPIONSHIPS""";"=""12.2017""";
"=""3""";"=""W""";"=""1""";"=""1""";"=""1""";"=""OLIVEIRA DA SILVA Monique""";"=""30.01.1998""";"=""BRA""";"=""53""";"=""52.91""";"=""68""";"=""* 71""";"=""* 71""";"=""68""";"=""81""";"=""84""";"=""* 87""";"=""84""";"=""152""";"=""2017 SOUTH AMERICAN JUNIOR CHAMPIONSHIPS""";"=""12.2017""";
"=""4""";"=""W""";"=""2""";"=""2""";"=""2""";"=""SILVA RAMIREZ Stefania Nicole""";"=""10.08.2000""";"=""PER""";"=""53""";"=""52.21""";"=""63""";"=""* 66""";"=""66""";"=""66""";"=""77""";"=""80""";"=""83""";"=""83""";"=""149""";"=""2017 SOUTH AMERICAN JUNIOR CHAMPIONSHIPS""";"=""12.2017""";
"=""5""";"=""M""";"=""1""";"=""1""";"=""1""";"=""FERRUZOLA ALAVA Rafael Patricio""";"=""16.10.1997""";"=""ECU""";"=""56""";"=""55.60""";"=""100""";"=""104""";"=""109""";"=""109""";"=""126""";"=""131""";"=""*136""";"=""131""";"=""240""";"=""2017 SOUTH AMERICAN JUNIOR CHAMPIONSHIPS""";"=""12.2017""";
"=""6""";"=""M""";"=""2""";"=""2""";"=""2""";"=""LEYES Jonatan Martin""";"=""12.05.2001""";"=""ARG""";"=""56""";"=""55.52""";"=""87""";"=""90""";"=""* 94""";"=""90""";"=""107""";"=""112""";"=""*117""";"=""112""";"=""202""";"=""2017 SOUTH AMERICAN JUNIOR CHAMPIONSHIPS""";"=""12.2017""";
"=""7""";"=""M""";"=""3""";"=""3""";"=""3""";"=""TAFUR ALVA Fredy""";"=""22.06.2001""";"=""PER""";"=""56""";"=""55.06""";"=""78""";"=""82""";"=""* 85""";"=""82""";"=""105""";"=""110""";"=""*113""";"=""110""";"=""192""";"=""2017 SOUTH AMERICAN JUNIOR CHAMPIONSHIPS""";"=""12.2017""";
"=""8""";"=""W""";"=""1""";"=""1""";"=""1""";"=""TAPUY GREFA Monica Joahana""";"=""14.11.1998""";"=""ECU""";"=""58""";"=""55.42""";"=""70""";"=""72""";"=""76""";"=""76""";"=""90""";"=""* 95""";"=""95""";"=""95""";"=""171""";"=""2017 SOUTH AMERICAN JUNIOR CHAMPIONSHIPS""";"=""12.2017""";
"=""9""";"=""W""";"=""2""";"=""2""";"=""2""";"=""SOUZA SANTOS Raquel""";"=""05.06.1999""";"=""BRA""";"=""58""";"=""57.42""";"=""65""";"=""71""";"=""75""";"=""75""";"=""85""";"=""* 90""";"=""* 91""";"=""85""";"=""160""";"=""2017 SOUTH AMERICAN JUNIOR CHAMPIONSHIPS""";"=""12.2017""";
